Seed,Case Id,Start State,Solution Found,Number of Moves,Number of Nodes Opened,Computing Time
883,1,"[2, 2, [[5, 3, 2], [8, 4, 6], [1, 7, 0]]]",1,24,35185,0.49323296546936035
883,2,"[0, 2, [[5, 3, 0], [2, 6, 1], [7, 8, 4]]]",0,30,95765,1.4567322731018066
883,3,"[0, 0, [[0, 3, 5], [4, 8, 6], [2, 7, 1]]]",1,24,26367,0.5003352165222168
883,4,"[0, 0, [[0, 2, 8], [1, 7, 6], [4, 3, 5]]]",1,28,57393,0.9004130363464355
883,5,"[0, 2, [[5, 4, 0], [1, 7, 6], [2, 3, 8]]]",0,30,95765,1.4419760704040527
883,6,"[2, 1, [[5, 2, 8], [3, 6, 7], [4, 0, 1]]]",0,30,62320,1.4182579517364502
883,7,"[1, 1, [[8, 7, 3], [4, 0, 1], [5, 6, 2]]]",0,30,112461,1.594071865081787
883,8,"[2, 2, [[1, 2, 6], [8, 4, 7], [5, 3, 0]]]",1,26,4251,0.7045729160308838
883,9,"[2, 2, [[1, 5, 7], [8, 6, 4], [2, 3, 0]]]",0,30,48677,1.2758069038391113
883,10,"[0, 2, [[2, 7, 0], [4, 8, 5], [1, 6, 3]]]",1,24,8324,0.40191197395324707
